title,engine_size,engine_type,total_kms,price,link
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"106,533 mi",No price found,/cars-for-sale/mercedes-benz-c-class-2015/37492183
Mercedes C220 AMG,2015,2.1 Diesel,"68,000 mi","€17,950",/cars-for-sale/mercedes-c220-amg/36775649
Mercedes C350E Estate,2016,2.0 Petrol Plug-in Hybrid,"149,000 km","€15,500",/cars-for-sale/mercedes-c350e-estate/36378121
2016 Mercedes-Benz C220d SE Auto,2016,2.1 Diesel,"108,000 km","€10,299",/cars-for-sale/2016-mercedes-benz-c220d-se-auto/36959099
Mercedes C220 AMG,2016,2.1 Diesel,"216,000 km","€18,750",/cars-for-sale/mercedes-c220-amg/36632632
Great Island Motors,Independent Dealer,2016,2.0 Petrol,"€20,900",/cars-for-sale/mercedes-benz-c-class-2-0-exclusive-saloon-petrol/35065561
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€9,895",/cars-for-sale/mercedes-benz-c-class-c220-cdi-be-executive-se-5dr/37475008
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€13,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37475006
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€15,995",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-automat/37475005
Mercedes c220,2015,2.1 Diesel,"253,000 km","€13,950",/cars-for-sale/mercedes-c220/37121826
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"263,609 km","€14,500",/cars-for-sale/mercedes-benz-c-class-2014/37467885
Mercedes-Benz C-Class 2016,2016,2.0 Petrol Plug-in Hybrid,35 days,"€14,500",/cars-for-sale/mercedes-benz-c-class-2016/37245415
AS Cars,Independent Dealer,2014,2.1 Diesel,"€12,995",/cars-for-sale/mercedes-benz-c-class-c-series-bluetec-sport-auto/37443443
2015 Mercedes C250 Amg Sport Edt Premium+ Auto,2015,2.1 Diesel,"107,000 mi","€14,400",/cars-for-sale/2015-mercedes-c250-amg-sport-edt-premium-auto/36980356
Tom Hand Cars,Independent Dealer,2015,1.6 Diesel,"€16,450",/cars-for-sale/mercedes-c200-d-sport-auto-2015-nct-05-26/37412011
DG Cars & 4X4 LTD,Independent Dealer,2015,2.1 Diesel,"€14,950",/cars-for-sale/now-reserved/37431325
Mercedes-Benz C-Class 2014,2014,1.6 Diesel,"178,000 km","€11,000",/cars-for-sale/mercedes-benz-c-class-2014/37212018
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"94,000 km","€18,100",/cars-for-sale/mercedes-benz-c-class-2015/36193919
Mercedes C220 AMG Premium+ / Hydrophobic coatings.,2015,2.1 Diesel,"87,700 km","€19,900",/cars-for-sale/mercedes-c220-amg-premium-hydrophobic-coatings-/31853862
Mercedes c class,2015,1.6 Diesel,"135,000 mi","€11,000",/cars-for-sale/mercedes-c-class/36692572
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€15,995",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-4dr-auto/37405562
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€9,895",/cars-for-sale/mercedes-benz-c-class-c220-cdi-be-executive-se-5dr/37405546
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€13,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37405544
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"178,000 km","€10,900",/cars-for-sale/mercedes-benz-c-class-2014/37175564
Cunningham Autopoint,Independent Dealer,2016,1.6 Diesel,"€17,995",/cars-for-sale/mercedes-benz-c-class-c180d-avantgarde-auto/37342651?campaign=3
Pauric Byrne Cars,Independent Dealer,2016,2.1 Diesel,"€27,450",/cars-for-sale/mercedes-benz-c-class-220cdi-amg-premium-plus-2016/37332721?campaign=3
SPOTLIGHT,2016,2.1 Diesel,"69,000 mi",€0,/cars-for-sale/reserved/37692615?campaign=3
Carcare Motor Co,Independent Dealer,2015,2.1 Diesel,"€14,950",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-4dr-12-m/37694529
Fleetwise Ltd,Independent Dealer,2014,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-2-1-c220-bluetec-se-executi/36027528
162 MERC C220 SPORT AUTOMATIC NEW NCT&TAX,2016,2.1 Diesel,"141,320 mi","€13,950",/cars-for-sale/162-merc-c220-sport-automatic-new-nct-tax/37692427
Derg Valley Autos,Independent Dealer,2015,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-2015/37520993
Mercedes C Class AMG Premium Plus,2015,2.1 Diesel,"140,000 mi","€14,800",/cars-for-sale/mercedes-c-class-amg-premium-plus/37532252
Glassen Motors,Independent Dealer,2016,1.6 Diesel,"€21,950",/cars-for-sale/mercedes-benz-c-class-200-bluetec-amg-sport-4dr-a/35655034
John White Car Sales Ltd,Independent Dealer,2014,2.1 Diesel,"€12,995",/cars-for-sale/mercedes-benz-c-220-amg-sport/37690363
Excellent Auto Choice,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,950",/cars-for-sale/mercedes-benz-c350e-plug-in-hybrid-estate/34442488
N7 Motors,Independent Dealer,2015,2.1 Diesel Hybrid,"€21,450",/cars-for-sale/2015-mercedes-benz-c-class-c-series-amg-line-prem/36941659
N7 Motors,Independent Dealer,2015,2.1 Diesel,"€18,950",/cars-for-sale/2015-mercedes-benz-c-class-c-series-d-amg-line-pr/37035944
2016 Mercedes-Benz C350E 279 HP Sport Premium Plus,2016,2.0 Petrol Plug-in Hybrid,"90,000 km","€17,450",/cars-for-sale/2016-mercedes-benz-c350e-279-hp-sport-premium-plus/37634501
Mercedes-Benz C250 AMG Premium Plus,2016,2.1 Diesel,"114,000 km","€40,000",/cars-for-sale/mercedes-benz-c250-amg-premium-plus/37633820
Kearys CarStore,Independent Dealer4.4/5,2016,2.1 Diesel,"€23,333",/cars-for-sale/mercedes-benz-c-class-c220-220-d-2dr-auto/28935491
Southern Motors,Independent Dealer,2015,2.0 Petrol,"€17,650",/cars-for-sale/2015-mercedes-c200-sport-auto-2-0-petrol-184-bhp/37513488
J.Reynolds Car Sales,Independent Dealer,2015,1.6 Diesel,"€14,999",/cars-for-sale/mercedes-c200-cdi-exclusive-auto-low-km-2015/37076897
Mercedes-Benz C63 AMG S,2015,4.0 Petrol,"120,800 km","€53,950",/cars-for-sale/mercedes-benz-c63-amg-s/37527624
Strang Motors Ltd.,Independent Dealer,2014,2.1 Diesel,"€13,500",/cars-for-sale/mercedes-benz-c220-cdi-2014/36555109
Quality Motors,Independent Dealer,2015,1.6 Petrol,"€19,995",/cars-for-sale/2015-mercedes-c180-low-miles-s78/36838140
2016 Mercedes Benz C220 AMG line Auto,2016,2.1 Diesel,"160,000 mi","€15,000",/cars-for-sale/2016-mercedes-benz-c220-amg-line-auto/37594795
Right Price Cars,Independent Dealer,2015,2.1 Diesel,"€14,950",/cars-for-sale/mercedes-c220-bluetec-executive-se-estate/37628462
Green Mile Motors,Independent Dealer,2015,1.6 Diesel,"€17,995",/cars-for-sale/2015-mercedes-benz-c180-automatic-low-miles/33095760
Killaloe Auto Sales Ltd,Independent Dealer,2014,2.1 Diesel,"€12,950",/cars-for-sale/2014-mercedes-benz-c-class-amg-auto/37684359
Mellotte Motors,Independent Dealer,2016,1.6 Diesel,"€18,950",/cars-for-sale/mercedes-benz-c-class-c180-auto/36562251
A & J Motors,Independent Dealer,2014,2.1 Diesel,"€14,850",/cars-for-sale/14-mercedes-c-class-2-1-diesel-automatic/37618794
Mercedes C220 CDI 170hp new service and brakes,2014,2.1 Diesel,"190,500 km","€8,500",/cars-for-sale/mercedes-c220-cdi-170hp-new-service-and-brakes/36394743
Fermanagh Auto Sales,Independent Dealer,2016,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-2-1-c-250-d-amg-line-premiu/37682291
McNamara Motors.ie,Independent Dealer,2015,1.6 Diesel,"€19,995",/cars-for-sale/mercedes-benz-c-class-estate-avantgard-exceptional/37612186
Blanchardstown Auto Leader,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,450",/cars-for-sale/162-mercedes-benz-c350-e-210bhp-auto-hybrid/37046532
James Hennessy Motors Ltd,Independent Dealer,2015,1.6 Diesel,"€19,995",/cars-for-sale/mercedes-benz-c-class-c200-bluetec-exclusive-auto/36617481
Lux Car Sales,Independent Dealer,2016,2.1 Diesel,"€17,950",/cars-for-sale/2016-mercedes-benz-c220d-amg-new-nct-till-07-26/37293165
SPOTLIGHT,2015,1.6 Diesel,"184,000 km","€13,495",/cars-for-sale/mercedes-c-class-2015/37424504?campaign=3
Pauric Byrne Cars,Independent Dealer,2016,2.1 Diesel,"€27,450",/cars-for-sale/mercedes-benz-c-class-220cdi-amg-premium-plus-2016/37332721?campaign=3
Cunningham Autopoint,Independent Dealer,2016,1.6 Diesel,"€17,995",/cars-for-sale/mercedes-benz-c-class-c180d-avantgarde-auto/37342651?campaign=3
New Model 2014 Mercedes Benz C220d 4dr Saloon,2014,2.1 Diesel,"197,455 km","€12,995",/cars-for-sale/new-model-2014-mercedes-benz-c220d-4dr-saloon/37144256
Billy Walker Cars,Independent Dealer,2015,2.1 Diesel,"€18,000",/cars-for-sale/mercedes-benz-c-class-2015-amg-sport-auto-coupe/37380563
James Barry Motors,Franchise Dealer,2016,1.6 Diesel,"€22,950",/cars-for-sale/mercedes-benz-c-class-c-class-amg-auto-james-barr/37361853
Mercedes-Benz C-Class 2015,2015,1.6 Diesel,"144,000 mi","€17,500",/cars-for-sale/mercedes-benz-c-class-2015/37149152
Mercedes-Benz C-Class 2016,2016,2.1 Diesel,"153,000 km","€12,400",/cars-for-sale/mercedes-benz-c-class-2016/37359127
Mercedes grill,2015,1.6 Diesel,50 days,€120,/cars-for-sale/mercedes-grill/37050709
Mercedes c220,2015,2.1 Diesel,"152,000 mi","€14,350",/cars-for-sale/mercedes-c220/37342042
The Car Crew,Independent Dealer,2015,1.6 Diesel,"€17,950",/cars-for-sale/mercedes-benz-c-class-180-bluetec-avantgarde-auto/36455469
Mercedes-Benz C-Class 2016,2016,1.6 Diesel,"132,000 km","€14,299",/cars-for-sale/mercedes-benz-c-class-2016/37311335
C300d  Hibrid AMG PLUS PANO,2015,2.1 Diesel Hybrid,"193,000 km","€19,000",/cars-for-sale/c300d-hibrid-amg-plus-pano/37305772
OC Motors,Independent Dealer,2016,1.6 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-180-d-4dr-auto/37303308
Mercedes C220D Executive Auto,2016,2.1 Diesel,"125,000 mi","€17,500",/cars-for-sale/mercedes-c220d-executive-auto/37064793
Mercedes C-Class NCT 03-26,2015,1.6 Diesel,"141,000 mi","€11,950",/cars-for-sale/mercedes-c-class-nct-03-26/37059441
Rockfield Cars,Independent Dealer,2016,2.1 Diesel,"€16,950",/cars-for-sale/c220-auto-bluetooth-streaming-reverse-camera/36987584
Merchedes-Benz c200,2016,1.6 Diesel,"135,000 km","€15,500",/cars-for-sale/merchedes-benz-c200/37056811
Mercedes-Benz C-Class 2015,2015,2.1 Diesel Hybrid,"145,000 km","€18,500",/cars-for-sale/mercedes-benz-c-class-2015/37258808
Mercedes c250 amg,2015,2.1 Diesel,105 mi,"€18,000",/cars-for-sale/mercedes-c250-amg/37042212
Mercedes C200,2016,1.6 Diesel,"147,000 mi","€15,500",/cars-for-sale/mercedes-c200/37236019
Mercedes-Benz C-Class 2016,2016,2.1 Diesel,"24,000 mi",No price found,/cars-for-sale/mercedes-benz-c-class-2016/37228048
Mercedez Benz C220 AMG,2016,2.1 Diesel,"140,000 mi","€19,950",/cars-for-sale/mercedez-benz-c220-amg/37022090
Mercedes-Benz C350e Plug In Hybrid,2016,2.0 Petrol Plug-in Hybrid,"177,000 km","€16,200",/cars-for-sale/mercedes-benz-c350e-plug-in-hybrid/36536513
