title,engine_size,engine_type,total_kms,price,link
BMW F30 320d msport,2014,2.0 Diesel,"121,000 mi","€16,000",/cars-for-sale/bmw-f30-320d-msport/37496063
2014 Bmw 3-Series EFFICIENTDYNAMICS,2014,2.0 Diesel,"211,370 mi","€9,000",/cars-for-sale/2014-bmw-3-series-efficientdynamics/37654171
Naas Road Autos,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-5dr-estate-auto-/37633110
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334
Naas Road Autos,Independent Dealer,2014,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-estate-automatic-stu/37086006
Naas Road Autos,Independent Dealer,2014,2.0 Petrol,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-4dr-saloon-automatic-/37653392
BMW 3-Series 2014,2014,2.0 Diesel,"117,500 mi",No price found,/cars-for-sale/bmw-3-series-2014/37494848
Jim Carey Car Sales,Independent Dealer,2015,2.0 Diesel,"€19,950",/cars-for-sale/bmw-3-series-msports-2015-1/37534546
Frank Wray Cars Ltd,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/bmw-3-series-2016-161leatherautomaticmintfsh/37625815
BMW 330d XDrive MSport,2016,3.0 Diesel,"69,820 mi",No price found,/cars-for-sale/bmw-330d-xdrive-msport/34985933
Beacon Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€20,900",/cars-for-sale/bmw-330e31-000-milesplug-in-hybrid19-inch-m-s/36729542
One Stop Motors Churchtown,Independent Dealer,2016,2.0 Diesel,"€23,899",/cars-for-sale/2016-bmw-320d-msport-shadow-ed-auto-as-new/37424113
Bmw 320D,2016,2.0 Diesel,160 mi,"€9,750",/cars-for-sale/bmw-320d/37579158
BMW 3-Series 2014,2014,2.0 Diesel,"160,000 mi","€12,500",/cars-for-sale/bmw-3-series-2014/37599108
BG Motors Ltd.,Independent Dealer,2015,2.0 Diesel,"€16,500",/cars-for-sale/bmw-3-series-318d-sport-zlst-4dr-auto/37619467
335D M SPORT XDRIVE LCI,2015,3.0 Diesel,100 mi,"€26,250",/cars-for-sale/335d-m-sport-xdrive-lci/37458526
BMW 3-Series 2014,2014,2.0 Diesel,"116,000 km",No price found,/cars-for-sale/bmw-3-series-2014/36552004
152 Bmw F31 B47 2.0D 160 kilometers,2015,2.0 Diesel,"140,600 km","€14,250",/cars-for-sale/152-bmw-f31-b47-2-0d-160-kilometers/37650457
R1 Autos,Independent Dealer,2016,2.0 Diesel,"€24,995",/cars-for-sale/2016-bmw-3-series-320d-m-sport-auto-mperfomance/37359765
O'Connell Automotive Ltd,Independent Dealer,2015,2.0 Diesel,"€12,599",/cars-for-sale/2015-bmw-3-series-2-0d-se-automatic/35894616
Michael Conroy Motors LTD,Independent Dealer,2014,2.0 Diesel,"€11,999",/cars-for-sale/bmw-3-series-2014/37649667
Castle Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€20,900",/cars-for-sale/bmw-3-series-330-e-2-0-m-sport-plug-in/36409988?campaign=3
Petersons,Independent Dealer,2016,2.0 Diesel,"€16,950",/cars-for-sale/bmw-3-series-318d-se-zlbt-4dr-automatic/36581090?campaign=3
Jack Martin Motors,Independent Dealer,2015,2.0 Diesel,"€14,450",/cars-for-sale/bmw-3-series-3-series-sport-new-timing-chain-75-p/37334598?campaign=3
BMW 3-Series 2016,2016,2.0 Diesel,"228,000 km","€14,750",/cars-for-sale/bmw-3-series-2016/37545355
BMW 316d AUTO,2015,2.0 Diesel,"171,741 mi","€11,500",/cars-for-sale/bmw-316d-auto/37544983
BMW 320d M Sport AUTO,2016,2.0 Diesel,"120,000 km","€18,950",/cars-for-sale/bmw-320d-m-sport-auto/37649022
Cashel Motor Works,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-316d-sport-4dr-same-day-finance-arra/37535792
Koya Motors,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-320d-m-sport-2-0-diesel-automatic-/36780039
Koya Motors,Independent Dealer,2014,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-320d-diesel-msport-auto/37602984
Koya Motors,Independent Dealer,2015,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-320d-m-sport-leather-auto/37602980
Koya Motors,Independent Dealer,2015,2.0 Diesel,"€20,950",/cars-for-sale/bmw-3-series-320d-m-sport-diesel-auto/37600752
Koya Motors,Independent Dealer,2015,2.0 Diesel,"€18,950",/cars-for-sale/bmw-3-series-320d-m-sport-2-0-diesel-leather-auto/37368179
Autosource.ie/Autosource,Independent Dealer,2015,2.0 Diesel,"€9,995",/cars-for-sale/bmw-320d-sport-very-clean-vehicle/37648058
Right Price Cars,Independent Dealer,2016,2.0 Diesel,"€11,950",/cars-for-sale/bmw-316-se-2-0-diesel-lovely-car/37354062
BMW 320,2014,2.0 Diesel,"166,118 mi","€7,500",/cars-for-sale/bmw-320/37647563
BMW f30 320d m performance,2015,2.0 Diesel,"149,000 mi","€12,500",/cars-for-sale/bmw-f30-320d-m-performance/37646941
Auto Haven,Independent Dealer,2016,2.0 Diesel,"€17,450",/cars-for-sale/2016-bmw-3-series-automatic-low-kms/37424073
142 BMW M-Sport!,2014,2.0 Diesel,1 day,"€14,995",/cars-for-sale/142-bmw-m-sport/35994982
Ben Henry Motors Ltd.,Independent Dealer,2016,2.0 Diesel,€0,/cars-for-sale/2016-bmw-316d-sport-m-performance/37356672
BMW 320D MSPORT,2016,2.0 Diesel,1 day,"€19,500",/cars-for-sale/bmw-320d-msport/37466196
BMW 3-Series 2015,2015,2.0 Diesel,"211,408 mi","€9,200",/cars-for-sale/bmw-3-series-2015/37574099
