title,engine_size,engine_type,total_kms,price,link
TP Autos,Independent Dealer,2016,1.6 Diesel,"€16,995",/cars-for-sale/mercedes-benz-c-class-2016/37616017
CMC CAR SALES,Independent Dealer4.9/5,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/2016-mercedes-benz-c-class-c350e-avantgarde-sport/37649984
Michael Conroy Motors LTD,Independent Dealer,2014,2.1 Diesel,"€12,250",/cars-for-sale/mercedes-benz-c-class-2014/37650706
Clonskeagh Motors,Franchise Dealer4.9/5,2015,2.1 Diesel,"€18,950",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-saloon-auto/36526604
Mercedes C180d bluetec 1.6l,2016,1.6 Diesel,"192,500 km","€16,925",/cars-for-sale/mercedes-c180d-bluetec-1-6l/37546059
Autoland,Independent Dealer5.0/5,2016,2.0 Petrol Plug-in Hybrid,"€19,995",/cars-for-sale/161-mercedes-c350e-panoramic/36777923
Annesley Williams,Franchise Dealer,2016,2.1 Diesel,"€27,950",/cars-for-sale/mercedes-benz-c-class-c-250-d-amg-line/37649540
LMR Car Sales,Independent Dealer,2016,2.1 Diesel,"€24,950",/cars-for-sale/mercedes-c220d-premium-2-1-auto/37350234
Darragh Murphy Cars,Independent Dealer,2014,2.1 Diesel,"€15,999",/cars-for-sale/141-mercedes-benz-c-class-c220-cdi-amg-styling/36812449
The Car Crew,Independent Dealer,2016,1.6 Petrol,"€17,950",/cars-for-sale/mercedes-benz-c-class-avantgarde-low-klms/37041596
Tony Hogan Motors,Independent Dealer,2016,2.1 Diesel,"€15,950",/cars-for-sale/mercedes-benz-c-class-c-series-d-se-4dr/37368273
Autosource.ie/Autosource,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€15,950",/cars-for-sale/mercedes-c350-e-sport-wagon-2016/37648676
"C 220 executive manual, NEW NCT.1 owner",2016,2.1 Diesel,"140,000 mi","€14,950",/cars-for-sale/c-220-executive-manual-new-nct-1-owner/36881202
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"208,000 km","€10,995",/cars-for-sale/mercedes-benz-c-class-2014/37596373
Lapis Motors,Independent Dealer,2014,2.1 Diesel,"€9,500",/cars-for-sale/mercedes-benz-c-class-2014-new-nct/36926044
Autosource.ie/Autosource,Independent Dealer,2016,1.6 Petrol,"€14,950",/cars-for-sale/mercedes-c160-petrol-lovely-car-2016/37648165
Blue Line Auto,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€16,900",/cars-for-sale/mercedes-benz-c350e-premium-plus-161-hybrid/37382230
Blue Line Auto,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€16,950",/cars-for-sale/mercedes-benz-c350e-sport-161-plug-in-hybrid-270/36529215
Merceds c250 AMG line,2015,2.1 Diesel,"140,000 km","€20,700",/cars-for-sale/merceds-c250-amg-line/37646648
Evan Larkin Cars,Independent Dealer,2016,2.1 Diesel,"€16,950",/cars-for-sale/162-mercedes-benz-c-class-automatic-diesel/37646499
Bishopscourt Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€16,950",/cars-for-sale/mercedes-benz-c-class-2016/36900125
*BIG PRICE DROP!! Mercedes-Benz C-Class Coupe 2014,2014,2.1 Diesel,"59,285 km","€12,995",/cars-for-sale/big-price-drop-mercedes-benz-c-class-coupe-2014/37432773
2016 Mercedes c250 amg premium,2016,2.1 Diesel,"170,000 km","€12,000",/cars-for-sale/2016-mercedes-c250-amg-premium/37645132
Mercedes-benz,2015,2.0 Petrol,"103,000 mi","€13,995",/cars-for-sale/mercedes-benz/37541067
Kearys CarStore,Independent Dealer4.4/5,2016,2.1 Diesel,"€23,888",/cars-for-sale/mercedes-benz-c-class-c220-220-d-2dr-auto/28935491
Pauric Byrne Cars,Independent Dealer,2016,2.1 Diesel,"€27,450",/cars-for-sale/mercedes-benz-c-class-220cdi-amg-premium-plus-2016/37332721?campaign=3
Martin Murphy Car Sales,Independent Dealer,2015,1.6 Diesel,"€14,950",/cars-for-sale/mercedes-benz-c-class-c180-bluetec/37503604?campaign=3
Centrepoint Autos Ltd,Independent Dealer,2015,2.1 Diesel,"€19,950",/cars-for-sale/mercedes-benz-c-class-amg-line-bluetec-auto/36122812?campaign=3
Long Mile Motors Ltd,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,000",/cars-for-sale/mercedes-benz-c-class-new-nct/37620971
KP Car Sales,Independent Dealer,2016,1.6 Diesel,"€21,995",/cars-for-sale/stunning-mercedes-automatic-diesel/35322117
Mercedes C200 AMG Premium Plus (priced to sell),2014,2.0 Petrol,"105,000 km","€17,950",/cars-for-sale/mercedes-c200-amg-premium-plus-priced-to-sell/37515369
Mercedes c220d,2015,2.1 Diesel,"107,000 mi",No price found,/cars-for-sale/mercedes-c220d/37483402
Brendan Gunning Car Sales,Independent Dealer,2016,2.1 Diesel,"€18,995",/cars-for-sale/mercedes-benz-c-class-sport-auto-2016-nct-8-26/37641683
Auto Haven,Independent Dealer,2015,2.1 Diesel,"€13,950",/cars-for-sale/2015-mercedes-c-class-estate-2-1d-automatic/37641655
Auto Class Motors Ltd,Independent Dealer,2016,2.0 Hybrid,"€20,950",/cars-for-sale/mercedes-benz-c-class-c350-e-sport-premium-plus-4/36742068
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"167,000 mi",No price found,/cars-for-sale/mercedes-benz-c-class-2015/37589710
