title,engine_size,engine_type,total_kms,price,link
Callanan Autos,Independent Dealer,2014,3.0 Diesel,"€22,950",/cars-for-sale/bmw-x4-xdrive-30d-m-sport-auto-low-miles-hi-spec/37495054
Byrne Motor Company,Independent Dealer,2016,1.5 Petrol,"€15,750",/cars-for-sale/bmw-118i-sport-auto-2016/37658603
2V Motor sales,Independent Dealer,2014,2.0 Diesel,"€15,999",/cars-for-sale/bmw-520-f11-m-sport-181bhp-automatic/35019787
Bmw 335d xdrive,2014,3.0 Diesel,"125,000 mi","€22,500",/cars-for-sale/bmw-335d-xdrive/37658166
BMW 420 M Sport XDrive,2014,2.0 Diesel,"149,000 mi","€14,500",/cars-for-sale/bmw-420-m-sport-xdrive/36722346
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/161-bmw-420d-auto-m-sport-m-performance/37482650
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/161-bmw-420d-auto-m-sport-m-performance/37533288
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/161-bmw-420d-auto-m-sport-m-performance/37474041
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/161-bmw-420d-auto-x-drive-m-sport-m-performance/37474097
DG Prestige Motors,Independent Dealer,2015,2.0 Diesel,"€19,995",/cars-for-sale/152-bmw-320d-m-sport-auto-m-performance/37626350
DG Prestige Motors,Independent Dealer,2016,3.0 Diesel,"€39,995",/cars-for-sale/2016-bmw-x5-30d-x-drive-m-sport-m-performance/36976312
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/161-bmw-420d-auto-m-sport-m-performance/36894103
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/162-bmw-520d-auto-m-sport-m-performance/37288749
DG Prestige Motors,Independent Dealer,2016,2.0 Diesel,"€23,995",/cars-for-sale/162-bmw-520d-auto-m-sport-m-performance/37492231
Max Miller Autos,Independent Dealer,2016,2.0 Diesel,"€17,450",/cars-for-sale/bmw-3-series-318-d-4dr-auto-leather/36871597
BMW 520d Msport,2015,2.0 Diesel,"175,000 mi","€14,500",/cars-for-sale/bmw-520d-msport/37445412
BMW 5-Series 2014,2014,2.0 Diesel,"142,000 mi","€8,950",/cars-for-sale/bmw-5-series-2014/37204361
BMW 320d Msport,2014,2.0 Diesel,"166,000 mi","€11,950",/cars-for-sale/bmw-320d-msport/36760261
Colm Quinn BMW Athlone,Franchise Dealer4.5/5,2015,3.0 Diesel,No price found,/cars-for-sale/bmw-x5-30d-m-sport/37658275
151 BMW 520D  AUTO SE,2015,2.0 Diesel,"238,056 km","€12,995",/cars-for-sale/151-bmw-520d-auto-se/37078207
Bmw 520d f11 msport auto,2016,2.0 Diesel,117 mi,"€19,950",/cars-for-sale/bmw-520d-f11-msport-auto/36903198
BMW 4 series 430D,2016,3.0 Diesel,"135,000 km","€21,500",/cars-for-sale/bmw-4-series-430d/37445116
Optimum Autos,Independent Dealer,2015,1.6 Petrol,"€14,950",/cars-for-sale/2015-bmw-2-series-218i-luxury-edition-1-5-petrol/35652084?campaign=3
